"ACTIVE","CATEGORY","DESCRIPTION","EXTERNAL_ID","IMAGE_URL","IS_NEW","NAME","OLD_PRICE","PRICE","RATING","REVIEW_COUNT","STOCK"
"true","LAPTOP","Gigabyte G5 KE RC55KE Laptop laptop","LAP-000444","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367043/tech-store/laptops/template-04.png","false","Gigabyte G5 KE RC55KE Laptop","","103890.0","0.0","0","10"
"true","LAPTOP","Gigabyte G5 ME RC55ME Laptop laptop","LAP-000445","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367045/tech-store/laptops/template-05.jpg","false","Gigabyte G5 ME RC55ME Laptop","","85990.0","0.0","0","10"
"true","LAPTOP","Gigabyte G5 GE RC55GE Laptop laptop","LAP-000446","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367046/tech-store/laptops/template-06.jpg","false","Gigabyte G5 GE RC55GE Laptop","","109990.0","0.0","0","10"
"true","LAPTOP","Dell Inspiron 7420 D560918WIN9S Laptop laptop","LAP-000447","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367048/tech-store/laptops/template-07.jpg","false","Dell Inspiron 7420 D560918WIN9S Laptop","","74990.0","0.0","0","10"
"true","LAPTOP","Lenovo ThinkPad X13 21BNS03K00 Laptop laptop","LAP-000448","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367049/tech-store/laptops/template-08.png","false","Lenovo ThinkPad X13 21BNS03K00 Laptop","","200000.0","0.0","0","10"
"true","LAPTOP","Acer Nitro 5 AN515-45 UN.QCLSI.005 Gaming Laptop laptop","LAP-000449","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367038/tech-store/laptops/template-01.png","false","Acer Nitro 5 AN515-45 UN.QCLSI.005 Gaming Laptop","","75990.0","0.0","0","10"
"true","LAPTOP","Acer Nitro 5 AN515-45 UN.QCLSI.006 Gaming Laptop laptop","LAP-000450","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367040/tech-store/laptops/template-02.jpg","false","Acer Nitro 5 AN515-45 UN.QCLSI.006 Gaming Laptop","","68990.0","0.0","0","10"
"true","LAPTOP","Acer Nitro 5 AN515-45 UN.QBMSI.009 Gaming Laptop laptop","LAP-000451","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367041/tech-store/laptops/template-03.png","false","Acer Nitro 5 AN515-45 UN.QBMSI.009 Gaming Laptop","","63990.0","0.0","0","10"
"true","LAPTOP","HP Envy x360 13-bf0085TU Laptop laptop","LAP-000452","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367043/tech-store/laptops/template-04.png","false","HP Envy x360 13-bf0085TU Laptop","","79990.0","0.0","0","10"
"true","LAPTOP","HP 240 G8 Business Laptop laptop","LAP-000453","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367045/tech-store/laptops/template-05.jpg","false","HP 240 G8 Business Laptop","","34440.0","0.0","0","10"
"true","LAPTOP","Lenovo Ideapad Slim 3 81WD014XIN Laptop laptop","LAP-000454","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367046/tech-store/laptops/template-06.jpg","false","Lenovo Ideapad Slim 3 81WD014XIN Laptop","","31990.0","0.0","0","10"
"true","LAPTOP","Lenovo ThinkPad T14 20W0S1HU00 Laptop laptop","LAP-000455","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367048/tech-store/laptops/template-07.jpg","false","Lenovo ThinkPad T14 20W0S1HU00 Laptop","","140200.0","0.0","0","10"
"true","LAPTOP","HP Pavilion 14-ek0084TU Laptop laptop","LAP-000456","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367049/tech-store/laptops/template-08.png","false","HP Pavilion 14-ek0084TU Laptop","","71020.0","0.0","0","10"
"true","LAPTOP","Asus Eeebook 14 E410KA-BV092W Laptop laptop","LAP-000457","https://res.cloudinary.com/dngvbsauf/image/upload/v1788367038/tech-store/laptops/template-01.png","false","Asus Eeebook 14 E410KA-BV092W Laptop","","24500.0","0.0","0","10"
