external_id,name,description,category,price,old_price,stock,image,rating,review_count,is_new,active
LAP-000424,HP 240 G8 4K5D5PA Business Laptop,HP 240 G8 4K5D5PA Business Laptop laptop,LAPTOP,35000.0,,10,,0.0,0,False,True
LAP-000425,Lenovo E41-55 82FJ00B5IH Laptop,Lenovo E41-55 82FJ00B5IH Laptop laptop,LAPTOP,18990.0,,10,,0.0,0,False,True
LAP-000426,Lenovo E41-55 82FJ00B5IH Laptop,Lenovo E41-55 82FJ00B5IH Laptop laptop,LAPTOP,18990.0,,10,,0.0,0,False,True
LAP-000427,MSI Katana GF66 12UC-632IN Gaming Laptop,MSI Katana GF66 12UC-632IN Gaming Laptop laptop,LAPTOP,80990.0,,10,,0.0,0,False,True
LAP-000428,Lenovo IdeaPad Flex 5 14ALC7 82R9006PIN Laptop,Lenovo IdeaPad Flex 5 14ALC7 82R9006PIN Laptop laptop,LAPTOP,72690.0,,10,,0.0,0,False,True
LAP-000429,Lenovo V14 Gen 2 ‎82C40019IX Laptop,Lenovo V14 Gen 2 ‎82C40019IX Laptop laptop,LAPTOP,49999.0,,10,,0.0,0,False,True
LAP-000430,Asus ROG Strix G15 G513IE-HN088WS Gaming Laptop,Asus ROG Strix G15 G513IE-HN088WS Gaming Laptop laptop,LAPTOP,76990.0,,10,,0.0,0,False,True
LAP-000431,Asus Vivobook 14 OLED UX3402ZA-KN531WS Laptop,Asus Vivobook 14 OLED UX3402ZA-KN531WS Laptop laptop,LAPTOP,95980.0,,10,,0.0,0,False,True
LAP-000432,Lenovo IdeaPad Slim 3 82RJ0040IN Laptop,Lenovo IdeaPad Slim 3 82RJ0040IN Laptop laptop,LAPTOP,52900.0,,10,,0.0,0,False,True
LAP-000433,Ultimus S151 NU14U2INC43VN-CS Laptop,Ultimus S151 NU14U2INC43VN-CS Laptop laptop,LAPTOP,19990.0,,10,,0.0,0,False,True
LAP-000434,HP Pavilion 14-dv2014TU Laptop,HP Pavilion 14-dv2014TU Laptop laptop,LAPTOP,68918.0,,10,,0.0,0,False,True
LAP-000435,Ultimus S151 NU14U2INC43VD-CS Laptop,Ultimus S151 NU14U2INC43VD-CS Laptop laptop,LAPTOP,17990.0,,10,,0.0,0,False,True
LAP-000436,Ultimus S152 NU15U2INC44VN-SG Laptop,Ultimus S152 NU15U2INC44VN-SG Laptop laptop,LAPTOP,23990.0,,10,,0.0,0,False,True
LAP-000437,Lenovo Legion S7 82TF007LIN Gaming Laptop,Lenovo Legion S7 82TF007LIN Gaming Laptop laptop,LAPTOP,149990.0,,10,,0.0,0,False,True
LAP-000438,Acer Aspire 5 A515-57 NX.K2VSI.002 Laptop,Acer Aspire 5 A515-57 NX.K2VSI.002 Laptop laptop,LAPTOP,42990.0,,10,,0.0,0,False,True
LAP-000439,MSI Stealth GS66 12UGS-290IN Gaming Laptop,MSI Stealth GS66 12UGS-290IN Gaming Laptop laptop,LAPTOP,288990.0,,10,,0.0,0,False,True
LAP-000440,HP Envy x360 13-AY1065AU Laptop,HP Envy x360 13-AY1065AU Laptop laptop,LAPTOP,75190.0,,10,,0.0,0,False,True
LAP-000441,Dell Latitude 14 7420 Laptop,Dell Latitude 14 7420 Laptop laptop,LAPTOP,98280.0,,10,,0.0,0,False,True
LAP-000442,Acer Aspire 5 A515-57 Laptop,Acer Aspire 5 A515-57 Laptop laptop,LAPTOP,57990.0,,10,,0.0,0,False,True
LAP-000443,Lenovo IdeaPad Slim 3 82H802XXIN Laptop,Lenovo IdeaPad Slim 3 82H802XXIN Laptop laptop,LAPTOP,59290.0,,10,,0.0,0,False,True
LAP-000444,Gigabyte G5 KE RC55KE Laptop,Gigabyte G5 KE RC55KE Laptop laptop,LAPTOP,103890.0,,10,,0.0,0,False,True
LAP-000445,Gigabyte G5 ME RC55ME Laptop,Gigabyte G5 ME RC55ME Laptop laptop,LAPTOP,85990.0,,10,,0.0,0,False,True
LAP-000446,Gigabyte G5 GE RC55GE Laptop,Gigabyte G5 GE RC55GE Laptop laptop,LAPTOP,109990.0,,10,,0.0,0,False,True
LAP-000447,Dell Inspiron 7420 D560918WIN9S Laptop,Dell Inspiron 7420 D560918WIN9S Laptop laptop,LAPTOP,74990.0,,10,,0.0,0,False,True
LAP-000448,Lenovo ThinkPad X13 21BNS03K00 Laptop,Lenovo ThinkPad X13 21BNS03K00 Laptop laptop,LAPTOP,200000.0,,10,,0.0,0,False,True
LAP-000449,Acer Nitro 5 AN515-45 UN.QCLSI.005 Gaming Laptop,Acer Nitro 5 AN515-45 UN.QCLSI.005 Gaming Laptop laptop,LAPTOP,75990.0,,10,,0.0,0,False,True
LAP-000450,Acer Nitro 5 AN515-45 UN.QCLSI.006 Gaming Laptop,Acer Nitro 5 AN515-45 UN.QCLSI.006 Gaming Laptop laptop,LAPTOP,68990.0,,10,,0.0,0,False,True
LAP-000451,Acer Nitro 5 AN515-45 UN.QBMSI.009 Gaming Laptop,Acer Nitro 5 AN515-45 UN.QBMSI.009 Gaming Laptop laptop,LAPTOP,63990.0,,10,,0.0,0,False,True
LAP-000452,HP Envy x360 13-bf0085TU Laptop,HP Envy x360 13-bf0085TU Laptop laptop,LAPTOP,79990.0,,10,,0.0,0,False,True
LAP-000453,HP 240 G8 Business Laptop,HP 240 G8 Business Laptop laptop,LAPTOP,34440.0,,10,,0.0,0,False,True
LAP-000454,Lenovo Ideapad Slim 3 81WD014XIN Laptop,Lenovo Ideapad Slim 3 81WD014XIN Laptop laptop,LAPTOP,31990.0,,10,,0.0,0,False,True
LAP-000455,Lenovo ThinkPad T14 20W0S1HU00 Laptop,Lenovo ThinkPad T14 20W0S1HU00 Laptop laptop,LAPTOP,140200.0,,10,,0.0,0,False,True
LAP-000456,HP Pavilion 14-ek0084TU Laptop,HP Pavilion 14-ek0084TU Laptop laptop,LAPTOP,71020.0,,10,,0.0,0,False,True
LAP-000457,Asus Eeebook 14 E410KA-BV092W Laptop,Asus Eeebook 14 E410KA-BV092W Laptop laptop,LAPTOP,24500.0,,10,,0.0,0,False,True
LAP-000458,HP 240 G8 689T7PA Business Laptop,HP 240 G8 689T7PA Business Laptop laptop,LAPTOP,34440.0,,10,,0.0,0,False,True
LAP-000459,Lenovo ThinkPad E14 G3 20Y700B5IG Laptop,Lenovo ThinkPad E14 G3 20Y700B5IG Laptop laptop,LAPTOP,74990.0,,10,,0.0,0,False,True
LAP-000460,Lenovo V14 82KAA057IH Laptop,Lenovo V14 82KAA057IH Laptop laptop,LAPTOP,32499.0,,10,,0.0,0,False,True
