external_id,brand,processor,ram,ssd,hard_disk,operating_system,graphics,screen_size,resolution
LAP-000399,HP,12th Gen Core i5,16,512,0,Windows,Intel Integrated Iris Xe,15.6,1920x1080
LAP-000400,HP,12th Gen Core i7,16,1000,0,Windows,Intel Integrated Iris Xe,15.6,2880x1800
LAP-000401,HP,12th Gen Core i5,16,512,0,Windows,Intel Integrated Iris Xe,15.6,1920x1080
LAP-000402,Dell,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920x1080
LAP-000403,HP,Ryzen 5 5625U,16,512,0,Windows,AMD Radeon Graphics,14.0,1920x1080
LAP-000404,HP,12th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphics,15.6,1920x1080
LAP-000405,HP,12th Gen Core i5,16,512,0,Windows,Intel Integrated Iris Xe,13.4,1920x1200
LAP-000406,HP,Ryzen 7 5800U,16,512,0,Windows,AMD Radeon Graphic,13.3,1920x1080
LAP-000407,Dell,12th Gen Core i5,8,512,0,Windows,Intel Iris Xe Graphics,15.6,1920x1080
LAP-000408,Asus,AMD Ryzen 7 6800HS,16,1000,0,Windows,6 GB NVIDIA GeForce RTX 3060,15.6,2560x1440
LAP-000409,Dell,12th Gen Core i5,8,512,0,Windows,Intel UHD Graphics,14.0,1920x1080
LAP-000410,Dell,AMD R5-5625U,16,512,0,Windows,AMD Radeon Radeon Graphics,15.6,1920x1080
LAP-000411,Dell,AMD Ryzen 5-5625U,8,512,0,Windows,AMD Radeon Radeon Graphics,15.6,1920x1080
LAP-000412,Dell,12th Gen Core i3,8,512,0,Windows,Intel UHD Graphics,14.0,1920x1080
LAP-000413,Asus,AMD Ryzen 9 6900HS,16,1000,0,Windows,8 GB NVIDIA GeForce RTX 3070Ti,15.6,2560x1440
LAP-000414,MSI,12th Gen Core i7,16,512,0,Windows,Intel Integrated Iris Xe,15.6,1920x1080
LAP-000415,MSI,12th Gen Core i5,16,512,0,Windows,Intel Integrated Iris Xe,15.6,1920x1080
LAP-000416,MSI,12th Gen Core i5,8,512,0,Windows,Intel Integrated Iris Xe,14.0,1920x1080
LAP-000417,Asus,12th Gen Core i3,8,512,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000418,HP,11th Gen Core i5,8,512,0,Windows,Intel Integrated,14.0,1366x768
LAP-000419,HP,12th Gen Core i5,8,512,0,Windows,4 GB NVIDIA GeForce GTX 1650,15.6,1920x1080
LAP-000420,Lenovo,11th Gen Core i7,16,1000,0,Windows,4 GB Nvidia Quadro T600,15.6,1920x1080
LAP-000421,Acer,12th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphic,15.6,1920x1080
LAP-000422,HP,12th Gen Core i3,8,512,0,Windows,Intel Integrated UHD,14.0,1920x1080
LAP-000423,Dell,Intel Pentium Gold 7505,8,256,0,Windows,Intel UHD Graphics,15.6,1920x1080
LAP-000424,HP,11th Gen Core i3,8,512,0,DOS,Intel Integrated,14.0,1366x768
LAP-000425,Lenovo,Athlon 3050U,4,0,1000,DOS,AMD Radeon AMD,14.0,1366x768
LAP-000426,Lenovo,Athlon 3050U,4,256,0,DOS,AMD Radeon AMD,14.0,1366x768
LAP-000427,MSI,12th Gen Core i7,8,512,0,Windows,4 GB NVIDIA GeForce RTX 3050,15.6,1920x1080
LAP-000428,Lenovo,AMD Ryzen 5 5500U,16,512,0,Windows,AMD Radeon,14.0,1920x1200
LAP-000429,Lenovo,11th Gen Core i5,8,512,0,Windows,Intel Iris Xe Graphics,14.0,1920x1080
LAP-000430,Asus,Ryzen 7 4800H,8,512,0,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,15.6,1920x1080
LAP-000431,Asus,12th Gen Core i5,16,512,0,Windows,Intel Iris Xe,14.0,2880x1800
LAP-000432,Lenovo,12th Gen Core i3,8,512,0,Windows,‎Intel UHD Graphics,14.0,1920x1080
LAP-000433,Ultimus,Celeron N4020,4,128,0,Windows,Intel Integrated UHD Graphics,14.1,1920x1080
LAP-000434,HP,12th Gen Core i5,16,512,0,Windows,Intel Integrated UHD Graphics,14.0,1920x1080
LAP-000435,Ultimus,Celeron N4020,4,128,0,DOS,Intel Integrated UHD Graphics,14.1,1920x1080
LAP-000436,Ultimus,Celeron N4020,4,256,0,Windows,Intel Integrated UHD Graphics,15.6,1920x1080
LAP-000437,Lenovo,12th Gen Core i7,16,1000,0,Windows,4 GB NVIDIA GeForce RTX 3050 Ti,16.0,2560x1600
LAP-000438,Acer,12th Gen Core i3,8,512,0,Windows,Intel Integrated UHD,15.6,1920x1080
LAP-000439,MSI,12th Gen Core i7,32,1000,0,Windows,8 GB NVIDIA GeForce RTX 3070Ti,15.6,2560x1440
LAP-000440,HP,AMD Ryzen 5-5600U,8,512,0,Windows,AMD Radeon,13.3,1920x1080
LAP-000441,Dell,11th Gen Core i5,16,512,0,Windows,Intel Iris Xe Graphics,14.0,1920x1080
